postal_code,rooms,area,garden_area,price
1100,2,38,0,24559702
1100,2,39,0,271774
2020,4,94,0,409000
1100,1,31,0,187135
1100,1,31,0,20050191
1100,1,31,0,20050191
2620,3,100,450,34500002
1100,1,31,0,187135
1100,2,42,0,309541
1100,2,38,0,245597
1100,2,51,0,456872
1100,2,40,0,27997405
1100,1,31,0,2192749
1100,1,31,0,219274
1100,1,31,0,23256429
1100,1,31,0,23256429
1100,2,38,0,308065
1100,2,39,0,288245
1100,1,31,0,23256429
1100,1,31,0,21927492
2353,5,120,0,549000
9142,45,86,0,199000
4020,5,123,0,729000
9170,0,0,0,1250000
1190,3,76,0,649000
3001,4,89,0,535000
3001,4,92,0,459000
3001,4,105,0,557000
3001,3,82,0,415000
8045,22,68,0,0
1230,2,40,0,270500
2410,10,0,0,5900000
5020,1,30,0,200000
1190,7,400,0,2580000
1020,4,106,0,549000
1200,2,52,0,420800
1080,3,160,0,2300000
5640,3,165,0,1230000
1080,3,74,0,528000
5760,0,80,0,250000
4203,5,155,0,429000
4203,5,155,0,429000
4840,0,0,0,0
1020,0,79,0,520000
1080,3,133,0,1745280
4776,4,136,0,375500
6092,0,564,0,874200
1100,3,73,0,289000
6351,3,118,0,765000
6351,3,87,0,535000
1010,5,281,0,8049000
6800,35,84,0,479000
6364,6,170,0,1300000
1220,3,88,0,629900
1210,4,194,0,1100000
2102,5,223,833,1349000
1220,4,113,0,539000
1220,4,112,0,539000
1220,44,112,0,0
8524,0,2368,0,165760
4202,24,0,0,472
2333,3,87,0,4179999
2333,3,75,0,379997
2333,3,82,0,469101
2333,4,84,0,413530
2333,3,84,0,422633
2500,35,72,0,218000
9620,3,59,0,278000
9620,3,59,0,275000
6130,2,66,0,348000
8490,2,46,0,221500
1210,5,113,0,559000
3421,4,119,0,450000
7062,6,260,0,469000
1100,0,0,0,26000
9546,0,500,0,149000
2305,6,237,0,326600
2511,5,174,0,552000
1090,0,0,0,370000
4931,0,111,0,17918
4931,0,2535,0,3415
2305,6,237,0,326600
2511,5,174,0,552000
1030,0,0,0,0
2325,4,96,0,525000
1100,3,98,0,425000
1130,2,58,0,319000
2371,6,422,0,0
4020,2,40,0,169000
2700,6,132,0,547000
7343,8,260,0,239000
7221,12,530,0,1390000
7210,0,393,0,479000
7021,7,136,0,298000
4840,3,73,0,245000
8330,3,118,0,970000
8251,8,180,0,289000
1210,3,80,0,320000
2054,3,92,0,277000
2054,4,128,0,293000
8010,3,110,0,519000
2333,3,82,0,392757
2333,3,267,0,820000
,3,92,0,349000
6365,0,320,437,6900000
8053,2,44,0,205000
1130,0,1477,0,0
4800,0,112,0,375000
6534,3,73,0,495000
9500,4,97,0,399000
4921,0,112,0,449000
2320,5,138,47,568000
6521,4,128,0,550000
1040,2,57,0,718000
5700,3,80,0,379000
1070,5,126,0,379000
5270,2,73,0,134900
1100,0,110,0,539000
5760,0,0,0,750000
8074,3,67,0,248000
8074,4,82,0,300000
8074,3,56,0,208000
6555,3,75,0,0
6555,3,73,0,0
6555,23,73,0,0
6555,3,87,0,0
6555,2,78,0,0
9074,3,72,0,710000
9074,2,50,0,471000
1210,3,74,0,296000
9220,2,57,0,553000
2344,2,44,0,269000
4600,0,1294,0,375000
7536,4,110,0,205000
7400,8,225,0,349000
2344,3,74,0,409000
2344,3,72,0,629000
9074,4,104,0,996000
9074,4,103,0,1006000
1110,2,53,0,3100001
3100,2,57,0,135000
8605,3,74,0,0
1020,0,369,0,2100000
9074,3,76,0,752000
9074,3,81,0,797000
3143,3,90,0,698000
3430,3,70,0,160000
1220,5,137,0,699000
3295,0,9639,0,670000
6130,3,101,0,399000
1180,3,75,0,649000
1180,4,142,0,1599000
1180,3,73,0,499000
4030,2,56,0,315000
1010,3,96,0,1281000
1010,5,378,0,7949000
7082,0,190,0,349000
7083,0,210,0,349000
5020,1,36,0,235000
9074,3,72,0,706000
1100,2,36,0,133000
6200,0,580,0,0
1220,4,129,0,649000
5412,0,904,0,915000
9074,2,50,0,474000
9074,4,91,0,847000
6083,5,150,0,650000
8983,10,260,800,595000
9074,4,91,0,839000
6365,4,136,124,0
9020,4,113,0,298500
1180,4,169,0,1499000
1180,34,73,0,0
1160,2,46,0,328000
3920,10,350,0,349000
9241,0,124,397,399000
5020,4,98,0,530000
4614,4,110,0,435000
9074,2,58,0,537000
6020,5,108,0,649000
1050,3,184,0,2995000
9074,2,55,0,542000
9074,3,80,0,780000
9074,2,45,0,428000
9074,2,55,0,532000
9500,4,127,0,359000
1210,4,145,0,750000
1220,6,157,0,830000
3204,2,63,0,149000
3874,6,188,0,249000
1110,3,77,0,376800
7400,0,1104,0,0
1140,0,60,0,326650
3032,5,120,368,459000
4490,3,80,0,198000
2491,0,400,400,0
7201,5,110,0,399000
9074,4,138,0,1370000
2751,8,270,0,570000
2372,4,90,0,597800
2372,2,66,0,555400
2372,3,86,0,585700
1110,3,80,0,368100
1110,3,75,0,337300
8020,23,41,0,0
6134,3,72,0,445000
1020,35,102,0,619000
1210,2,40,0,29900005
1210,4,116,0,99900011
5020,2,48,0,360000
9074,3,82,0,762000
9074,4,104,0,951000
9074,2,57,0,531000
1010,2,56,0,690000
1060,2,56,0,690000
1190,4,112,0,1499000
1190,3,58,0,659000
1190,4,100,0,1169000
1120,3,90,0,599000
1120,4,100,0,650000
1120,3,85,0,575000
1190,3,58,0,629000
1190,4,101,0,1590000
5084,5,182,0,450000
8053,3,67,0,179000
1170,25,46,0,0
5131,7,307,0,1150000
1110,4,114,0,515000
1200,3,87,0,499000
6370,0,150,0,3500000
8410,4,160,0,420000
1160,2,52,0,375000
1160,2,46,0,339000
5311,3,81,0,1039000
1210,4,93,0,485001
1210,2,70,0,380000
1210,2,61,0,333000
2372,3,86,0,548500
2372,2,83,0,578400
1130,33,97,0,0
2230,3,74,0,316300
6405,0,90,0,565000
2486,4,141,0,519000
2540,5,101,0,590000
6890,0,703,0,690000
6890,65,149,0,805000
9081,3,85,0,383000
8302,3,54,0,189192
2136,3,83,0,149000
9220,4,135,0,0
6787,1,39,0,203000
6444,0,92,0,398500
5084,9,178,0,450000
1100,3,83,0,485000
5061,4,169,0,2400000
6112,4,90,0,470000
2372,2,66,0,379800
6384,4,162,0,0
1190,4,122,0,854000
1190,6,177,0,1239000
2123,3,76,0,414000
1190,0,473,0,3050000
5452,4,91,0,445000
5452,4,91,0,435000
5452,4,94,0,525000
5452,4,97,0,445000
4614,3,77,0,324000
4614,2,57,0,264000
4540,4,97,0,321001
6800,4,92,0,0
6352,3,83,0,0
6353,0,260,0,4850000
1220,1,56,0,251000
9900,4,99,0,299000
2821,2,58,0,112000
2700,3,81,0,198000
2440,0,0,0,895000
2700,0,355,0,839000
2700,2,70,0,160000
2472,4,110,0,695000
2700,2,70,0,165000
2821,3,77,0,205000
1150,2,46,0,299000
9521,0,50,0,229000
2305,0,237,0,326600
1090,2,66,0,411000
3710,0,4860,0,403692
4931,0,110,0,17918
4931,0,2535,0,3415
9872,2,67,0,465000
3034,3,58,1616,350000
6365,0,66,0,664800
3851,4,140,188,138000
5452,4,94,0,405000
3482,4,122,1000,493000
6215,3,97,0,489000
2500,7,260,0,665000
1220,5,140,0,540000
8401,3,95,0,650000
1190,4,221,0,1740000
9560,0,0,0,400000
9545,4,121,500,450000
6370,0,675,0,9600000
5091,4,130,0,400000
1140,0,40,0,264712
1140,0,40,0,264712
1140,0,40,0,264712
6900,3,59,0,235000
2344,25,74,0,298000
5311,3,88,0,1144000
5311,3,86,0,1200000
5311,3,83,0,1161000
6352,3,67,0,640000
9800,165,1200,0,579000
6393,4,226,0,2690000
8750,0,0,0,460000
3423,4,85,0,389000
9580,0,200,0,480000
1030,4,106,0,1729300
